tweeet_1_type,tweeet_1_text,tweeet_2_type,tweeet_2_text,tweeet_3_type,tweeet_3_text,tweeet_4_type,tweeet_4_text,tweeet_5_type,tweeet_5_text,tweeet_6_type,tweeet_6_text,tweeet_7_type,tweeet_7_text,tweeet_8_type,tweeet_8_text,tweeet_9_type,tweeet_9_text,tweeet_10_type,tweeet_10_text
retweet,"@UterusHaver Finally, I don’t believe that you were ever supportive. Your bio shows that you believe in a conspirac… https://t.co/7YXqum6YXO",tweet,@erinsteph_x @lucy_goober @LGBwiththeT Probably she already has. Most likely a child. 😔,retweet,Come on the #Democrats 🫰🫰🫰#MidtermElections2022,retweet,"@ALLIANCELGB @TwisterFilm Oh look, it's Schrödinger's terf. He both is and isn't part of LGBA.",tweet,@d4dsagainst @Randinn @Lashonda_cd Thought *you* were parodying the tiny fringe “gender critical” aka “genital cree… https://t.co/egMJm3Mmjo,retweet,@_seasons1994 @Tibbulz_the_cat @jaco_dou @palladianblue @ArabiaSteve @MaximeBernier And some humans are incapable o… https://t.co/JdfpODBwTO,tweet,"@john_marriage @SportingNest @SwipeWright You’re wrong, again 🤷🏻‍♀️",favorite,@manimalian @MsVanillaRose @naptownjbrown @NoFaceLocal @games_tray @LoveStopsHatred And you have no humanity nor willingness to look outside of your narrow bigoted confines.,retweet,I think this is probably a majority TERF position as they believe trans people are the result of patriarchy and the… https://t.co/6JERnWxXkC,retweet,"@ask_aubry This guy is scary, to say the least.  

If anyone is ever having trouble with someone like this, make su… https://t.co/5zw4TBYUUX"
tweet,"Principled Populists telling PA voters to stay home, not vote for Oz and give senate seat to a socialist to the lef… https://t.co/nod6PGANZz",tweet,@MattWalshBlog You know what’s funny is that the guy you’re quoting was ACTUALLY HIRED BY RON DESANTIS,tweet,@josh_hammer @RonDeSantisFL @johncardillo @RubinReport @MatthewTyrmand @jbronitsky @davereaboi @LisaMarieBoothe @karol @BuckSexton Populist Inc every time they see Ron DeSantis https://t.co/Mnzlft2mDC,tweet,@iamsankeerth235 @MattWalshBlog And yet Ron DeSantis appointed this guy https://t.co/Qh2mlUdpCl,tweet,@iamsankeerth235 @MattWalshBlog 😂😂😂 Trump reduced legal immigration via executive action to its lowest level in yea… https://t.co/OrlGu9MqNj,tweet,@linda_marie1982 @TheCalvinCooli1 If DeSantis decides to run he will get smoked by Trump despite what Populist Inc… https://t.co/0Q0Zbi2oXa,tweet,@Robert_J_R0 @Tboy09760957 @RedEaglePatriot Why is John Bolton a big DeSantis supporter and donor and why is Pompeo running against Trump in 2024?,retweet,"""DeSantis has done more for Republicans in the midterms than Trump"" is one hell of a cope. DeSantis did like 5 or s… https://t.co/JyyhHG3qlG",tweet,@dougmastriano GIGACHAD ENERGY,tweet,I’m willing to bet an absurd amount of money Cernovich distanced himself from Trump cos he was afraid of the FBI go… https://t.co/PWQUHF0T42
tweet,Shout out to my guy - does he know that the Ohio Constitution trumps the Ohio Revised Code? https://t.co/XcINyH47nh,retweet,You cannot love your country only when you win. You cannot obey the law only when it's convenient. You cannot be pa… https://t.co/7enxPkNgCz,tweet,Rest In Peace. https://t.co/NxdvwajBei,tweet,"Tomorrow - Sunday - we are taking that resolve to the steps Ohio Statehouse - for a rally to show Gov. DeWine, JD V… https://t.co/DJ1646IsKC",tweet,This man promised to pass common-sense gun laws after the Dayton mass shooting and instead he gutted what few regul… https://t.co/ArzH4Tits3,tweet,@AdhamSahloul Well man hasn’t been to All-Star in almost a decade so he doesn’t have to worry about spending time here ¯\_(ツ)_/¯,tweet,Gabe! https://t.co/qo3viLr9MN,favorite,This guy 🤨🙃 https://t.co/Ax56tHoWoK,tweet,There is literally no way to pass crucial voting rights protections without altering the filibuster - “open to it”… https://t.co/7qnngyQvm0,tweet,Great news. https://t.co/PNDHFSAFu3
tweet,mmmm bacony beginings,favorite,los angeles bound ....ahoy,tweet,is fisting reality with the power of unicorns!!!!!!!!,tweet,listing more stuff on ebay ....http://shop.ebay.com/merchant/circusfaerie...buy mah shizat!!! or dont ...someone will,tweet,"http://bit.ly/CPG9Y
   new items on my etsy",tweet,wants not to want to want not to want ... http://lnk.ms/0XR0r,tweet,smoking a bowl pondering doom dooom doooooooooom,tweet,selling more stuff on ye olde ebay and drinking green tea listening to squarepusher  oddly enuff?,favorite,ohhhhhhhhh corn dog you know me so well,tweet,wants to see harry potter today
tweet,"Celebrating today by eating a chocolate cast of Ricky Gervais' head. 
Love that motherfucker.",tweet,"ATTENTION!
THIS WAS A ONE-LEGGED JOKE THAT WILL NEVER RUN.
AND, IT IS NOW OVER.

SHEEPISHLY BROUGHT TO YOU BY:

@awryone

Peace, everyone.",tweet,"@rainnwilson I only like paintings of music.
 Hip hop music.",favorite,Love consists of me and Frances Conroy and a profundity of ass-smackin' - chocolaterainnwilson,tweet,"If I played a guy who grew beets,
they would be BEATS.
Thumpin' BEATS.",tweet,"Walkin' through the alley
wearin' boots of alligator.
Man swishes by
trips off my alley gaydar.
Was that you, Toby Flenderson?",tweet,"@rainnwilson All that stuff you mentioned, and some Ohio Players on the turntable to emphasize the TOUCH.",tweet,"I am ChocolateRainn.
Exactly like Rainn Wilson.
Only blacker.",tweet,"@rainnwilson Buy one of them trees off my Seoul brother.
 It'll help your penis transcend its whiteness.",tweet,"Long night spent teaching Frances Conroy the hustle.
Watch out, 'cuz now she is NASTY."
retweet,Wow! that's a true hero. https://t.co/q0F2gdLr7L,tweet,@arewhyinoh 😂😂😂😂😂😂,tweet,"@chengdoo Yard work
Moving trailers n boats
Building stuff
Fixing stuff 

Ya know manly stuff",tweet,@CheeseScream Lol,favorite,@arewhyinoh Yes!!!!!,favorite,@Smug9001 @iamyesyouareno https://t.co/Vjd5dPz0kB,favorite,@pee_xl @libsoftiktok @ham_muffin 🤣🤣🤣,tweet,@pee_xl @JTkeepsrockin I can't go in them either nope,tweet,@ScrutonsHair OMG YOU'RE RIGHT 🤣🤣🤣🤣,tweet,@liveinthisb Lmaooo https://t.co/0Ci468u1y6
retweet,"TWO DAYS away from our 1 Year Anniversary 🎉 giving away another:
- 1x Mars Cat NFT with SST claim option
- 1x Alien… https://t.co/fhpdkjOjuz",tweet,@petergorla @LazyLionsNFT Space cutie 🚀,tweet,@NfTribute @ManovermarsNFT @MarsCatsVoyage Love these 💕 https://t.co/mBn9WBvlvL,tweet,@fabs_nma So good 🥳👏🏽 https://t.co/S0BnAP43G9,tweet,@DragonSoul @graffiti_heroes @dtaws @niftymediaart @fabs_nma @GetHoff @realTechKhan @xKingOro @fbinzscharf… https://t.co/3XobXkz8oH,tweet,@TacitaToons They’re so cute 🦎,tweet,Congratulations Viv This sounds amazing surreal and beautiful 😻👏🏽🎊 congratulations on such a huge achievement! https://t.co/QcLWxrgSQ5,tweet,NOW So much Ocean Conservation love 💕 🌊https://t.co/O1O6SrFYju,retweet,"Neko🐱 is always watching 👁
#TheArtOfSeasons, created by @DirtyRobotWorks https://t.co/Msi2Pjqznj",tweet,Looking good 😻 we know you’ll be pawsome as always thanks for hosting @MarsCatsVoyage #aliencats hoodie by… https://t.co/2DrlYj6UgO
tweet,@DefiantLs She says or does anything to advance in office,tweet,"@HalfwayPost @tedcruz @JDVance1 ""Everyone hates Ted Cruz.""

That's why Beto doesn't have his job right now, right?",tweet,@KurtSchlichter Charlie broke the agreement not to ask each other questions.,tweet,"Well,who would have ever thought that could happen? https://t.co/3vqIMJDrYj",tweet,"@JoJoFromJerz Why vote Republican? 
Because Joe is making American's bank accounts less to the tune of minus $450 a… https://t.co/3uA9uWcxqu",favorite,"@constit41249145 @katiehobbs All Democrats have to run on are electric cars that are self igniting firebombs  &amp; Trump who isn't running for anything.
You certainly can't run on people having to spend $450 a month more for the same things they bought last year, can you?",tweet,"@2aHistory The end of the world for Democrats happens next Tuesday. 
Musk didn't cause it. It is self inflicted.",tweet,@MichaelBurley @Paul_WarEagle @Retrievals1 @LisaMarieBoothe Name calling is all Democrats offer America at the voting booth.,tweet,"@RodericRandolp @BPUnion ""The border isn't open for if it was there wouldn't be any apprehensions of fentanyl seizu… https://t.co/jOdhircqyL",tweet,"@susanferrechio DC Union Station is just another example of ""Build Back Better""-that we haven't heard much about lately because it hasn't built anything back better. 
Joe's just raised prices on everything to beyond the breaking point of Americans wallets. 
Explain that to all Democrats Tuesday"
tweet,Theo Nestor's new book: ‘Writing is My Drink’: overcoming obstacles to writing | The Seattle Times http://t.co/oMx30TYOyG,tweet,@jyparadoxchild Our photog had to snap that shot quickly as the books were falling off our heads.,tweet,"How to Succeed at NaNoWriMo: Advice from Hugh Howey, Marissa Meyer, and Others http://t.co/zmnQ1kovWN",favorite,The Top 10 Most Difficult Books http://t.co/cMkgI9RCmH,favorite,Upcoming publishing workshops in the PNW! --&gt; Upcoming Business of Books Workshops &amp; Appearances | http://t.co/tQpNMQhE64 #amwriting,tweet,What's your favorite mystery? PW lists The 10 Best Mystery Books | http://t.co/rVw7vXbiUh,tweet,"Take a break from the gorge weather &amp; learn to write a killer nonfiction book proposal w/ us, 2-4pm at Central... https://t.co/oaNgPAdPny",tweet,Do you #nanowrimo? Our webinar on Nov 12&amp;19 will help you create a killer proposal &amp; nab traditional publishing deal—http://t.co/HWsp3eqSNX,tweet,"If you missed us on KUOW last week talking about all things publishing, you can catch the broadcast here: http://t.co/JqeyQUmiom",tweet,Makes sens. Funny or Die Writer Lands Book Deal With Simon &amp; Schuster | GalleyCat http://t.co/3UBKl4y1f7
favorite,@MaxStephens1 Lots of reasons,tweet,"@MaxStephens1 I'm gonna rewatch both of them, but i will say I didn't leave the theater feeling confused and guilty after TFA",favorite,"@MaxStephens1 Lol I dunno, there were a few lines in there. But hey, it's cool you like it. I'm not telling you I'm right or anything, just an opposing view on the subject. I enjoyed it while I watched it. But I still have my problems with it",retweet,i am balancing a can of beer on my stomach,tweet,@MaxStephens1 I'll do whatever. I'm a bumping kazoo player,tweet,"@MaxStephens1 Dude, raspberry beret is a jam",tweet,"@ambearface Hm, I don't think so. I think the last episode aired was the boat episodes",tweet,"@MaxStephens1 Don't get me wrong, the overall movie looked amazing and had some really good shit in it. But I'm gonna have to disagree and say bad outweighs the good",tweet,Show your friends https://t.co/nJbqzkMu1W,tweet,"@northern_nomads Laye crokes, right?"
tweet,@TheRealHBly1 I feel like Eef would lemme get a snek… 🤔,tweet,Me: https://t.co/NbHNCudGQ9,tweet,@kirawontmiss @judedeer,retweet,if i'm gonna live in a capitalist society for the rest of my life i think i at least deserve fangs,tweet,@spiderichor Omg do it,tweet,"Currently hearing @MetacornXD sing in the shower, bruh is putting on a showww!",retweet,"@TheNorseEmpress Ah ok, that's cool!!! You should go for it; you never know until you try👍",tweet,@LyfeFreeSpirit MAAM!!!!,tweet,@theestallion @FrChaseg00dman @Solid_Stark,retweet,Guys chill. We only have to wait 23547230597232 hours til FNC and EG
tweet,@GavinDeGraw is magic on the ivories. Such raw talent. #passionissexy #mytypeofguy #weshoulddoaduet #itwouldbebeautiful ;),tweet,"I work best under pressure. Turning carbon into #diamonds ... 
🌑-&gt;💎  🌑-&gt;💎  🌑-&gt;💎  🌑-&gt;💎",favorite,Finally back in high heels. Take that formerly broken injury. #calves #instafit #legs #nofilter #iworkout http://t.co/uYVEpr0fgQ,favorite,Whose dog is #BarkBox #PupOfTheWeek ? This girl's:). #dogsofinstagram #puplebrity #rescued #spoiled… http://t.co/PVRswx8OpK,tweet,It's a shame they don't serve drinks at the Apple Genius Bar. Now THAT would be genius. #Apple #Martini,tweet,Who is getting sweaty w me today? #idontsweatisparkle #boxing #fitlife #looklikeabeautytrainlikeabeast #iworkout http://t.co/n2ORapfsE1,tweet,@chrisjbukowski or a male nurse? Hmmm 😏,tweet,@GehovannyL what's up to my new tweep/partner in jet-setting crime?!?,tweet,@WhitneyWhatley @drkatiewhite pH doesn't cause infection. pH affects bacterial susceptibility/increases propensity for infection. #2cents,tweet,Finishing packing and flying to LAX. Hopefully the weather in Chicago will cooperate. #stormpocalypse #jetsetting
tweet,Stay tuned for news and updates. Visit our website for the latest blogs 🚀 https://t.co/MhatwvKf1X https://t.co/tgXPCwznpk,tweet,"Who's Coming?: Pioneertown, CA - Dec 15 at Pappy &amp; Harriet's https://t.co/TUHED5ZNFT",tweet,Just posted a photo @ PLANET https://t.co/hhMbqDxDGd https://t.co/MXH6O8tOVx,retweet,".@earthmoonearth2 - Seven Sisters
https://t.co/AkICGYc8YW",tweet,"Today: Palm Springs, CA - Nov 22 at Ace Hotel &amp; Swim Club (... https://t.co/1E1R5NDpHW",tweet,@IWMag @LesPaulOfficial @lespaulfound @blushhmusic_ @laurenruthward @KIXtheband @IVW_US @elizarickman @silentrival @AliBarter_Music @dizzytheband @brokenbabybaby @CarlooneyCarter @SpeedbuggyUsa @Lumerians @astpai @CamilleTrust Thanks for the love ❤️,tweet,We had a wonderful time opening for Morcheeba in California🙏🏽 Thanks to everyone who helped and support us along the way and to the new friends we made🙌🏽🙌🏽. We got so many great photos and videos to share so we’ll be… https://t.co/GDHpOKjVYN,favorite,"The spiritual meaning of red and blue - “The red hue symbolizes valor, courage, enthusiasm, blood and life while the blue color indicates perseverance, justice, vigilance and respect.” - TGIF! https://t.co/0EpBZ6aCep",tweet,The guys tracking some vibe for the #earthmoonearth record. #moog #theremin #crumar #fenderbass… https://t.co/coUckZH3Gy,tweet,Happy Halloween #jackolantern #sun https://t.co/obcvjt4iXQ
tweet,"No, she put country before party. Unlike you. https://t.co/l8jAQ0LIJs",tweet,"@elonmusk Business 101, Lead By Example. And so far your example of your leadership was to post a vile and false co… https://t.co/0X8F9WE6Hk",retweet,"You’ve been paying into Social Security your whole life. You earned it.

Now, Republicans in Congress want to cut i… https://t.co/5GBFntQd1T",retweet,"Social Security.
Medicare.
The right to choose.
It’s all on the ballot. This election is too important to sit out.",retweet,"It's becoming increasingly clear that this woman, who has never run for office or even run a business, doesn't have… https://t.co/LuqFmhanBc",retweet,Several countries around the world rejected Fox News because they saw it as a huge propaganda machine for white sup… https://t.co/ENm4IsdTpB,retweet,If you paid a fortune to fill up your tank this weekend remember that when Democrats acted to stop greedy gas gougi… https://t.co/4pf0qL8tZ9,retweet,Abortion appears to be the driving issue. Kristi Noem’s lead diminishes to 4%: https://t.co/IGnDX5VuGw,tweet,The party that uses fear-mongering tactics and scares their baby boomer generation base to vote for them also wants… https://t.co/O9Dr8VdJNJ,tweet,@elonmusk Your goal is to manipulate and distort reality.
tweet,@akkitwts @postergoddess21 This is one of the cutest things I have ever seen! Touches my heart. Thank you much for sharing!,retweet,"""What we know in this country...is that every place where women lack access to safe and legal abortion, the number… https://t.co/jlcqVCPYlB",tweet,"@ResistsSerena It’s really kind of ironic when you look at most of his supporters, and I’m very reluctant to ever t… https://t.co/hG0hP9JFJs",tweet,"@Stop_Trump20 Kamikaze shots. (Over 20 years ago) I might’ve been dehydrated for days. To this day, I cannot drink… https://t.co/4yi5siYjSH",tweet,"@idealskeptic @IceEmpress2 @GovernorTomWolf Actually think a “Karen” is someone PROTESTING about WEARING a MASK, ra… https://t.co/meM5r2ERxv",tweet,"@zarah9901 @dosherfamily @JulianCastro @nytimes Unfortunately, the few women that I personally see supporting Trump… https://t.co/QLzONhVsRj",favorite,@every1wearamask I’m sorry. She’s not a good candidate for transplant because she’s so sick. She has about 60 pounds of water weight/edema in her legs making her practically a paraplegic because she can’t move her legs on her own. Basically it’s a matter of time right now as she’s shutting down.,tweet,"@texan_wes @LuciaRendn4 My Autistic son is 17 and desperately lonely. It’s utter anguish for a parent. I also fear, because he’s so vulnerable, that his desperation could make him prey to the more nefarious types looking for “followers”. 💔",favorite,"And many claim to be such good, god-fearing “Christians”. https://t.co/iiSeyL0uU9",tweet,@Architectprod @justifiableWTF @ARumphius @NotoriousRED @LisaWinslow @AbortionChat Many people buy namebrand clothing at thrift stores. Never assume they’re buying from high-end department stores.
favorite,@Danny3992 Tickets aren't on sale yet - you didn't miss it! Presale starts tomorrow at 10am with code: VENUE and public on sale is Friday at 10am. See you there!,favorite,Breaking his five-year creative silence!! 🔊 Isaiah Rashad is bringing his Lil Sunny’s Awesome Vacation tour here Oc… https://t.co/To54SPzqb0,tweet,"David Rhythm is coming to The Parish on July 22 🎶 Grab your tickets this Friday (5/20) at 10am!

🔗… https://t.co/tPyDxOUT07",tweet,⚡ @LitBandOfficial's hometown show last night was one for the books! What a night! Thank you all for rockin with us… https://t.co/ncbuRSZhwJ,tweet,"🎶 🕺 💃 Get ready to wind your hips at the House because Trinidadian artist @Kestheband is bringing his signature island vibes to our stage on Sep 28 with special guest Jimmy October! 🏝️ 

🎟️ Snag your tickets here: https://t.co/Yv9vyORiYq https://t.co/fKN1OFpsyc",favorite,ON SALE NOW -- Island Block Radio Concert Series w/ @SPAWNBREEZIE in The Parish on March 26th! Get tickets now.,tweet,IT'S TIME! Tickets are on sale now for EPTIC with Leotrix on June 25! Grab your tickets here:… https://t.co/EX2pcsvYT4,tweet,"Get ready, Anaheim! Finn Gruva is coming to The Parish on August 27 ⛪ Don't miss the chance to get your tickets tomorrow at 10am. 

🎫 https://t.co/cCKWgSOokQ
🎉 @FinnGruva https://t.co/e9pbPVdDmx",tweet,"#NewNoise: Via @TheNoise, here's the winner of #SuperBowlLIV as predicted by members of @State_Champs, @SetItOff,… https://t.co/oGxdtntQgv",tweet,"New Show Alert 🤘 The Front Bottoms are coming to Anaheim on October 1!

🏠 Presale | This Thursday | 10AM | Code: EN… https://t.co/xTUat5CuUk"
tweet,"@RobSchneider As a native of Colorado, I second this statement.  The California migrants have ruined Colorado.",retweet,I bet the only places still counting votes days after this election will be controlled by Democrats.,retweet,"It’s amazing how she gets away with these lies ~ ~ @gretchenwhitmer claims ""nursing homes were never required to take patients who had Covid. They just weren’t."" Credit: @RNCResearch https://t.co/qQLIXgPQWu",tweet,@KariLaudenbach @PoliticalBarb @ChuckCallesto The press.  Frankly our press has absolutely failed this country.  He talks about Democrat politicians who are corrupt just like many Republican politicians are as well.  Sorry you can't see that fact.,retweet,Obama won't be able to stop what is happening in Arizona. Kari Lake is going to win big and she's going to bring others with her across the finish line.,tweet,@ScottAdamsSays He's not a serious candidate.  Too many people make a living off of running for office with no intention to win like @BernieSanders.  We need to change laws that any money left over for a specific campaign goes to the general fund.  Same with PAC money.,tweet,@RealSaltySlim Winner!,tweet,@KariLaudenbach @PoliticalBarb @ChuckCallesto Also from @msnbc who pushed the Russia collusion hoax endlessly.,retweet,@POTUS You pledged to put them out of business…why would they be making long-term investments?,tweet,@ProfEmilyOster @TheAtlantic Hell no!  People need to held accountable for the people they killed and the lives they destroyed.
tweet,"@Joshcody17 @julie_kelly2 How about you explain it to me?  You're not a fed are you ""Josh""?  Because if you were a fed then you could really give us the inside scoop of an explanation.  Really piece it all together for us.",favorite,"@TamDZS @MBravin @xSerenity78x @elonmusk @JennaEllisEsq @RealMarkFinchem Well on a free speech platform I would think  everyone is a ""content creator"".I think what he was proposing charging for was  verified accounts.But at any rate if you think Twitter is a regular corporation that isn't propped up/meddled in/captured/ under the control of USGOV ...",tweet,@julie_kelly2 It's a uniparty.  We were not born yesterday and we're about done with the two political parties runn… https://t.co/b4FIQT753b,tweet,@M_Millerman Ok Socrates....😃,favorite,@drewbbqq @realtoriabrooke Tick tock tick tock.   Cheer on your  uniparty tyranny is that it?  Violate executive an… https://t.co/nRRXfqPGlb,retweet,Choose #PublicSafety https://t.co/xwruR7C9g9,favorite,@AndrewLHutton @RepMattGaetz Everyone's a criminal.  Just point.  Pretty grim outlook there Andrew.,favorite,@toddstarnes @mrddmia They can run from the truth but the truth will find them.,tweet,"@warundpeace @xSerenity78x @elonmusk @JennaEllisEsq @RealMarkFinchem And nothing says  ""defender of free speech"" like calling your interlocutor a fascist.",tweet,"And breaking up families, sowing disunion, absoluteevil. https://t.co/nyfVeSkkj0"
tweet,@DickesonKathy Crist will bring humanity and intelligence back to Florida.,favorite,@MysterySolvent Probably @LindseyGrahamSC,favorite,@funder I did!,tweet,@LakotaMan1 Here!,tweet,@AZ_Brittney ABSOLUTELY!,tweet,@StephenM But you're a Nazi!,tweet,@joncoopertweets I'm real!,tweet,@NickAdamsinUSA You right wingnuts are very thin skinned.,tweet,@RudyGiuliani @Yankees @astros https://t.co/8c6v2LuLc6,tweet,"@DickesonKathy How can you still support trumpnuts, a liar, coward and serial predator! https://t.co/itfYlkj3KN"
tweet,@RedWhiteAndRae That basketball player IS in my class :) haha. 👍💯,retweet,RT to win a $100 http://t.co/Sr9gfd1dX7 gift card! Winner announced 8/1 at 4PM! Must follow @MarleyLilly to win! #marleylilly #giveaway,retweet,"Wooo #relaykickoff week starts tomorrow! Keep your eyes out for performances, benefit nights, and freebies in the pit from 10-2!",tweet,Going through old school stuff and realizing I've won awards in basically everything but science.. #mustbeasign,favorite,Everyone's out partying and I'm just like http://t.co/Pmwp3TFbBQ,retweet,RT to win a $100 @MarleyLilly Gift Card! Winner announced 7/16 at 12PM! Must follow to win! #giveaway #marleylilly http://t.co/uoiPHkSA4S,retweet,"""Take the time to feel lucky, happy and fortunate. Don't waste days with what could have been, should have been."" #OneTreeHill",tweet,#TransformationTuesday You don't have to conform to the norms of being… https://t.co/dUaDwUegq9,tweet,"Me: ""I'm supposed to be writing a paper but I'm printing out pictures of Ryan Gosling.."" @alexxxsmith23 : ""That sounds like a tweet.""",retweet,The land of the free because of the brave. Thank you to the men &amp; women who protect our country. #VeteransDay http://t.co/x0bHobH6If
tweet,At least Heidi will finally have an orgasm tonight.,favorite,"Billionaires are going to space, the government telling us about aliens, something ain't right here.",tweet,I just feel bad for opposing defenses. All of those interceptions Kirk Cousins throw will have covid on them.,favorite,"Sorry, I haven't been tweeting that much lately. I recently became a vegan and just haven't had the energy. I'm kid… https://t.co/NuJxDyx0SM",tweet,What's funny is all Trump supporters look alike. https://t.co/9SUQkNVA5h,tweet,"Sadly, Ted Cruz's dad will not receive a pardon for killing JFK.",tweet,Sit down and eat at a restaurant. https://t.co/LEwFUQbikt,tweet,The year is 2024 and polio has wiped out much of the South.,tweet,Poor Ray Liotta https://t.co/PfjJqSgERd,tweet,Whatever they use on Khloe Kardashian in those migraine commercials. https://t.co/gr8TH4e6Ps
retweet,@scottb791 @Cadence4Trump Well that is untrue. Whoopi earned her spot as a Hollywood star. She's hilarious &amp; a bril… https://t.co/QmObjTbmVK,tweet,Check out transcend_reality's video! #TikTok https://t.co/xD7Lqjq0Br,favorite,"A great investment, better than paying to house the Secrete Service in luxury hotels, mostly owned by Trump, to protect him and his family of leeches. https://t.co/WKS5jvC6BG",tweet,Check out painhub00965's video! #TikTok https://t.co/9DXBctsZxU,retweet,"Protect Willie Nelson at all costs…
#WillieIsMyDude #Willie #WillieNelson #DrToothAndElectricMayhem #Muppets https://t.co/KktOKNYJfF",tweet,"Another of Trump's little Nazis bites the dust. Hopefully, Herr Trump will be next. https://t.co/bmtQciJBte",tweet,Check out Meme ol's video! #TikTok https://t.co/apmfpFTB9L,tweet,TRUE!!! https://t.co/Y4Gq0plsUF,tweet,Check out hitorque's video! #TikTok https://t.co/aiXwCko7Ae,retweet,"And to think, Trump was just about to invite Ayman al-Zawahiri for a round of golf"
tweet,@Cox30Cox @JerryDunleavy I choose Trump. Not the faker.,retweet,"@alexbruesewitz Basically Alex, the more you see of Desantis, the less impressive he is. He has a great social media team that makes him go viral in controlled press conferences, but in uncontrollable environments he’s a stiff. It’s why he only agreed to 1 debate.",tweet,@CryptidPolitics LOL. If DT didn't carry him over the finish line against Gillum in the first place he wouldn't eve… https://t.co/tYdaIc8r60,tweet,@ThunderClarence @MaxNordau Well  DeSantis locked down Florida for months. Even the beaches. And pushed the vaccine… https://t.co/e8ZV9GzRgi,tweet,@JosephFordCotto I think eventually DeSantis will fall as fast as he has risen. Sure he and Trump both have huge egos. But Trump mixes his with humor. DeSantis mixes his with false grandeur.,retweet,"Wait until he asks about the path from Zelenskyy's Ukraine election campaign all the way across the Atlantic becoming the handler of a U.S. governor.  

How exactly do those dots travel and connect?

 🤣😂🤣 https://t.co/gQ0epGS24t https://t.co/sYpRkF0WmN",tweet,@TheRealDisco Sure. The biggest pandemic lockdown GOP Governor DeWine won reelection by a bigger margin than Desantis.,tweet,@mpceddington @RealSaavedra I heard it too Pretty spot on.,tweet,@LapisLazuli234 R's lost when they allowed Dems to to change our elections to allow voting by mail for weeks/months on end and unlimited time to count votes.They used covid to get it done and they have allowed it to become permanent. That and demographic change will sink R's,tweet,@sflone @TheCalvinCooli1 Nah. He just said it was a mistake. He didn't accuse RD of being a fake MAGA imposter who… https://t.co/JfLeeLZioA
tweet,@believeNpink Thanks. Let us hope so. Have a very happy Easter Sunday!,tweet,http://t.co/4PxA8UB5,tweet,"@marylmcaffry And if U think comments on Western sites are nasty, U should check out Al Jazeera English. Neither side wants to give an inch.",tweet,"Everyone should check out the #Freakonomics books. If you think econ is boring, these books will change your mind! #GreatReads",tweet,"@FirehouseMike I think our country, in fact the world, would be much better off if more people had that attitude. We're all just people. :)",tweet,@NicolePbairulla It's my pleasure. Thank you too.,tweet,"Shout Out to the world's newest nations:

Palestine: Economic Equality
South Sudan: Economic Equality
East Timor:... http://t.co/LWnu3KU5Gw",tweet,"My countrymen, let's be better than this. We ARE better than this. See that map up there? There's a whole world... http://t.co/t4t4YdMC",tweet,February is Black History Month in the U.S. The U.S. black population was more or less entirely brought here... http://t.co/g8A6QxBq,tweet,http://t.co/K12fQavXYc
retweet,"4/
@SoulFos

@Pic_the_little

@rescueqatarpaws

@the_legged

@rescuinghearts2

@SHELTERSHANS

@ILOVEANIMALSUK1

@ShelterKherson

@Petsrehorming

Big❓around the final 3 below 👇🏽as they evade questions etc.
@OdessaRescueUA
@sonja_covak (many mutual followers 🙁)
@UkraineAnimals2",tweet,@JPTheStrayDog @DogDayz17 Done 👍,retweet,We are still receiving reports of at least 1 or 2 Dunston Harrier Hounds loose in the vicinity of Mondays horrific… https://t.co/PvsJSeacqv,tweet,"@Julesk23 @Foxi_Chick_1 Thanks Jules. It’s a massive pet carrier all covered with bin liners, (apart from the door,… https://t.co/DOdrXvDCFo",tweet,@BanHuntingNI @MikeyFoxNI @Foxi_Chick_1 @AntiHuntingNI @EdwardFoxNI @AnimalCareNI Xx https://t.co/ttqsDhqa6j,retweet,Hey @DefraGovUK @PublicHealth @ranil have a look at this and let us know if you think this is in any way acceptable… https://t.co/Dibry6w4MT,retweet,"@SupportABanNI Wonder if they named this hedgehog ?
Squeakybum gets my vote 🤣",favorite,Well they have a point 🤣 https://t.co/l7hBd4S9CU,retweet,@MercyShelter Why are you stealing photos  from @theAleppoCatmen ? https://t.co/Eoi40XFZyB,retweet,"Please read for the Nut Fairy 🧚🏻‍♂️ Do you know we have a donate link in the shop 🙏
Your purchases and donations he… https://t.co/7wnxObpRpe"
tweet,The best and only weapon you need to use while being attacked by satan is the name of Jesus Christ. Even the demons fear God..,tweet,"God wants the whole world to be saved, it's just people are too ignorant to realize that.",retweet,"There is no problem in your life too big for God to handle, or too small for God to care about. #PowerfulGodPesonalGod",tweet,God gives and takes away.. Don't hang on to materialistic things. Put all you got into The Lord and you will never be dissatisfied.,tweet,Don't always go for the first door... Be patient. Sometimes the better option is somewhere down the road.,retweet,If a man does not embrace his past he has no future.,retweet,"If God has created us in His image, or likeness, then it only makes sense that God created us to be creative, not random. #worthbelieving",tweet,"Girls are gifts, not rights. You don't own her, and never will.",tweet,"Don't be a part-time Christian. 
You're not serving a part-time Savior.",tweet,"You don't need someone that loves the same sports team as you, you need someone who loves the same God as you."
